"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_block","full_address","lat","lon"
"139","Mischief Over $5000",2013,1,"15XX E 2ND AVE","1500 E 2ND AVE","1500 E 2ND AVE , Vancouver, BC, Canada",49.2685751,-123.0733193
"140","Mischief Over $5000",2013,1,"E 44TH AVE / TYNE ST","E 44TH AVE / TYNE ST","E 44TH AVE / TYNE ST , Vancouver, BC, Canada",49.23024,-123.09822
"141","Mischief Over $5000",2013,1,"9XX BEATTY ST","900 BEATTY ST","900 BEATTY ST , Vancouver, BC, Canada",49.2762839,-123.1156749
"142","Mischief Over $5000",2013,1,"49XX CONNAUGHT DR","4900 CONNAUGHT DR","4900 CONNAUGHT DR , Vancouver, BC, Canada",49.2417672,-123.1421244
"143","Mischief Under $5000",2013,1,"63XX VICTORIA DR","6300 VICTORIA DR","6300 VICTORIA DR , Vancouver, BC, Canada",49.2270941,-123.0655137
"144","Mischief Under $5000",2013,1,"10XX HAMILTON ST","1000 HAMILTON ST","1000 HAMILTON ST , Vancouver, BC, Canada",49.2767289,-123.1196065
"145","Mischief Under $5000",2013,1,"1XX E HASTINGS ST","100 E HASTINGS ST","100 E HASTINGS ST , Vancouver, BC, Canada",49.2812718,-123.1021792
"146","Mischief Under $5000",2013,1,"29XX W 37TH AVE","2900 W 37TH AVE","2900 W 37TH AVE , Vancouver, BC, Canada",49.2383751,-123.1704805
"147","Mischief Under $5000",2013,1,"VENABLES ST / VICTORIA DR","VENABLES ST / VICTORIA DR","VENABLES ST / VICTORIA DR , Vancouver, BC, Canada",49.27644,-123.00175
"148","Mischief Under $5000",2013,1,"31XX W 34TH AVE","3100 W 34TH AVE","3100 W 34TH AVE , Vancouver, BC, Canada",49.2412299,-123.1743169
"149","Mischief Under $5000",2013,1,"36XX E HASTINGS ST","3600 E HASTINGS ST","3600 E HASTINGS ST , Vancouver, BC, Canada",49.28085,-123.02527
"150","Mischief Under $5000",2013,1,"23XX W 41ST AVE","2300 W 41ST AVE","2300 W 41ST AVE , Vancouver, BC, Canada",49.2345351,-123.1600507
"151","Mischief Under $5000",2013,1,"29XX CLARK DR","2900 CLARK DR","2900 CLARK DR , Vancouver, BC, Canada",49.2586092,-123.0772643
"152","Mischief Under $5000",2013,1,"14XX E 12TH AVE","1400 E 12TH AVE","1400 E 12TH AVE , Vancouver, BC, Canada",49.2594651,-123.0753905
"153","Mischief Under $5000",2013,1,"59XX WALES ST","5900 WALES ST","5900 WALES ST , Vancouver, BC, Canada",49.2302024,-123.0514351
"154","Mischief Under $5000",2013,1,"10XX COMMERCIAL DR","1000 COMMERCIAL DR","1000 COMMERCIAL DR , Vancouver, BC, Canada",49.2756331,-123.0693751
"155","Mischief Under $5000",2013,1,"1XX POWELL ST","100 POWELL ST","100 POWELL ST , Vancouver, BC, Canada",49.28297,-123.10184
"156","Mischief Under $5000",2013,1,"HEATHER ST / W 14TH AVE","HEATHER ST / W 14TH AVE","HEATHER ST / W 14TH AVE , Vancouver, BC, Canada",49.26146,-123.11995
"157","Mischief Under $5000",2013,1,"27XX E 23RD AVE","2700 E 23RD AVE","2700 E 23RD AVE , Vancouver, BC, Canada",49.2495851,-123.0493375
"158","Mischief Under $5000",2013,1,"E 2ND AVE / MAIN ST","E 2ND AVE / MAIN ST","E 2ND AVE / MAIN ST , Vancouver, BC, Canada",49.26868,-123.067
"159","Mischief Under $5000",2013,1,"15XX E 8TH AVE","1500 E 8TH AVE","1500 E 8TH AVE , Vancouver, BC, Canada",49.26303,-123.07293
"160","Mischief Under $5000",2013,1,"BARCLAY ST / LAGOON DR","BARCLAY ST / LAGOON DR","BARCLAY ST / LAGOON DR , Vancouver, BC, Canada",49.29324,-123.14015
"161","Mischief Under $5000",2013,1,"5XX W 7TH AVE","500 W 7TH AVE","500 W 7TH AVE , Vancouver, BC, Canada",49.2648169,-123.1149734
"162","Mischief Under $5000",2013,1,"11XX DAVIE ST","1100 DAVIE ST","1100 DAVIE ST , Vancouver, BC, Canada",49.2803518,-123.1313942
"163","Mischief Under $5000",2013,1,"18XX VICTORIA DR","1800 VICTORIA DR","1800 VICTORIA DR , Vancouver, BC, Canada",49.2685136,-123.0655651
"164","Mischief Under $5000",2013,1,"4XX E 55TH AVE","400 E 55TH AVE","400 E 55TH AVE , Vancouver, BC, Canada",49.2199342,-123.0974168
"165","Mischief Under $5000",2013,1,"11XX QUEBEC ST","1100 QUEBEC ST","1100 QUEBEC ST , Vancouver, BC, Canada",49.2749283,-123.1016369
"166","Mischief Under $5000",2013,1,"HARO ST / THURLOW ST","HARO ST / THURLOW ST","HARO ST / THURLOW ST , Vancouver, BC, Canada",49.28164,-123.12931
"167","Mischief Under $5000",2013,1,"9XX MAIN ST","900 MAIN ST","900 MAIN ST , Vancouver, BC, Canada",49.2766075,-123.0996538
"168","Mischief Under $5000",2013,1,"2XX W HASTINGS ST","200 W HASTINGS ST","200 W HASTINGS ST , Vancouver, BC, Canada",49.2821799,-123.11024
