"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_block","full_address","lat","lon","cid","lat_offset","lon_offset"
"119","Theft From Auto Under $5000",2008,1,"9XX BURRARD ST","900 BURRARD ST","900 BURRARD ST , Vancouver, BC, Canada",49.2815299,-123.12422,2,49.2819894475927,-123.123891898301
"120","Theft From Auto Under $5000",2008,1,"22XX W 5TH AVE","2200 W 5TH AVE","2200 W 5TH AVE , Vancouver, BC, Canada",49.2671751,-123.1553828,2,49.2674008139055,-123.155238596357
"121","Theft From Auto Under $5000",2008,1,"74XX FRASER ST","7400 FRASER ST","7400 FRASER ST , Vancouver, BC, Canada",49.2169372,-123.0907639,2,49.2173764968409,-123.090524832565
"122","Theft From Auto Under $5000",2008,1,"1XX W 18TH AVE","100 W 18TH AVE","100 W 18TH AVE , Vancouver, BC, Canada",49.2545951,-123.1073938,2,49.2550306847077,-123.107007331692
"123","Theft From Auto Under $5000",2008,1,"33XX CHARLES ST","3300 CHARLES ST","3300 CHARLES ST , Vancouver, BC, Canada",49.2731051,-123.0333686,2,49.2732135717924,-123.032977596285
"124","Theft From Auto Under $5000",2008,1,"10XX BURRARD ST","1000 BURRARD ST","1000 BURRARD ST , Vancouver, BC, Canada",49.27986,-123.12661,2,49.2800131964363,-123.126486455962
"125","Theft From Auto Under $5000",2008,1,"12XX ARBUTUS ST","1200 ARBUTUS ST","1200 ARBUTUS ST , Vancouver, BC, Canada",49.2751734,-123.1517956,2,49.2753698785722,-123.151422361671
"126","Theft From Auto Under $5000",2008,1,"10XX BURRARD ST","1000 BURRARD ST","1000 BURRARD ST , Vancouver, BC, Canada",49.27986,-123.12661,2,49.2800104431047,-123.126484374053
"127","Theft From Auto Under $5000",2008,1,"25XX MANITOBA ST","2500 MANITOBA ST","2500 MANITOBA ST , Vancouver, BC, Canada",49.2629207,-123.1067051,2,49.2631153619605,-123.106297686698
"128","Theft From Auto Under $5000",2008,1,"18XX BARCLAY ST","1800 BARCLAY ST","1800 BARCLAY ST , Vancouver, BC, Canada",49.2900552,-123.1377577,2,49.2903023020538,-123.137600554311
"129","Theft From Auto Under $5000",2008,1,"1XX E CORDOVA ST","100 E CORDOVA ST","100 E CORDOVA ST , Vancouver, BC, Canada",49.28207,-123.10198,2,49.2825158782983,-123.101860140322
"131","Theft From Auto Under $5000",2008,1,"18XX BARCLAY ST","1800 BARCLAY ST","1800 BARCLAY ST , Vancouver, BC, Canada",49.2900552,-123.1377577,2,49.290340571067,-123.137362347718
"132","Theft From Auto Under $5000",2008,1,"25XX ONTARIO ST","2500 ONTARIO ST","2500 ONTARIO ST , Vancouver, BC, Canada",49.2628359,-123.1046873,2,49.2632933544503,-123.10432785173
"133","Theft From Auto Under $5000",2008,1,"6XX STAMPS LAND","600 STAMPS LAND","600 STAMPS LAND , Vancouver, BC, Canada",49.2687769,-123.1181316,2,49.269093958467,-123.117690149189
"134","Theft From Auto Under $5000",2008,1,"54XX VICTORIA DR","5400 VICTORIA DR","5400 VICTORIA DR , Vancouver, BC, Canada",49.23574,-123.0653451,2,49.2360380780826,-123.06508909991
"135","Theft From Auto Under $5000",2008,1,"15XX E 6TH AVE","1500 E 6TH AVE","1500 E 6TH AVE , Vancouver, BC, Canada",49.2648972,-123.0733155,2,49.2651530940362,-123.072976241384
"136","Theft From Auto Under $5000",2008,1,"56XX HAROLD ST","5600 HAROLD ST","5600 HAROLD ST , Vancouver, BC, Canada",49.2333991,-123.034895,2,49.2338253904795,-123.034714350681
"137","Theft From Auto Under $5000",2008,1,"11XX W PENDER ST","1100 W PENDER ST","1100 W PENDER ST , Vancouver, BC, Canada",49.2874375,-123.1206187,2,49.2877272617312,-123.120312146256
"138","Theft From Auto Under $5000",2008,1,"18XX BARCLAY ST","1800 BARCLAY ST","1800 BARCLAY ST , Vancouver, BC, Canada",49.2900552,-123.1377577,2,49.2903703660793,-123.137278093895
